BFSNr	SiedlungNr	SiedlungName	qualifier	GebäudeAnz	WohnungenAnz	EinwAnz
42	42005	Ulmerweg		S	1	2	8
42	42006	Schlat		S	1	1	4
42	42007	Schlosserbuck		S	1	1	3
42	42008	Rohräcker		S	2	2	5
42	42009	Ulmerhof		S	2	3	8
42	42010	Landwatt / Im Espi		S	1	1	5
42	42011	Neubrunn		S	2	3	8
42	42012	Im Wyberg		S	1	1	8
42	42013	Weierhof		S	1	1	3
42	42014	Emdwies		S	1	1	2
42	42015	Oberbrunn		S	2	1	3
42	42017	Riet		S	2	2	5
42	42018	Pfei		S	2	2	7
42	42019	Kollbrunn		S	1	2	7
42	42020	Wehrligass		S	1	2	8
42	42022	Wieshof		S	2	1	1
42	42023	Stangen		S	3	2	9
42	42024	Amtacker		S	2	2	6
42	42025	Im Buck		S	1	1	5
42	42399	Personen ohne Siedlungs-Nr. 		R	0	0	23
43	43001	Volken (Dorf)		S	65	96	250
43	43003	Rütihof		S	1	1	3
43	43004	Ribi		S	1	2	8
43	43399	Personen ohne Siedlungs-Nr. 		R	0	0	7
44	44001	Waltalingen (Dorf)		S	86	96	278
44	44002	Guntalingen		S	85	105	297
44	44003	Chardi		S	1	2	4
44	44004	Dachsbüel		S	1	1	3
44	44005	Tannholz		S	1	3	4
44	44006	Eichhof		S	2	2	7
44	44007	Buck		S	1	1	4
44	44008	Zur Römerstrasse		S	1	1	5
44	44009	Schloss Girsberg		S	1	1	2
44	44010	Girsberg		S	6	7	18
44	44011	Bückli		S	1	1	5
44	44012	Zentralschulhaus		S	2	2	9
44	44013	Rietmüli		S	2	3	6
44	44014	Sonnenhof		S	1	1	5
44	44015	Hasenbuck		S	1	1	2
44	44017	Egg		S	1	1	2
44	44018	Schwandegg		S	1	1	1
44	44019	Schloss Schwandegg		S	1	1	2
44	44020	Halden		S	1	1	3
44	44022	Buck		S	1	1	3
44	44023	Neuhof		S	1	1	3
44	44024	Freienbüel		S	1	1	3
44	44025	Unterbuch		S	1	1	4
44	44399	Personen ohne Siedlungs-Nr. 		R	0	0	14		
51	51001	Bachenbülach (Dorf)		S	473	1’260	2’985
51	51002	Bruederhof		S	1	2	5
51	51003	Berghus		S	2	2	2
51	51004	Hinterer Rüebisberg		S	1	1	2
51	51005	Schwiggi		S	1	2	4
51	51006	Industrie		S	13	15	32
51	51399	Personen ohne Siedlungs-Nr. 		R	0	0	53
52	52001	Bassersdorf (Dorf)		S	1’134	2’947	7’010
52	52002	Berg		S	2	3	6
52	52003	Muetlikon		S	1	1	4
52	52004	Baholz		S	2	1	3
52	52005	Fallmatten		S	1	1	4
52	52006	Bachtobel		S	10	10	21
52	52007	Berghof		S	1	1	2
52	52008	Juchen		S	3	5	16
52	52009	Grindel		S	4	4	5
52	52011	Forbuchen		S	1	1	2
52	52012	Hard		S	8	8	20
52	52013	Pöschen		S	6	19	50
52	52014	Untereigen		S	1	1	2
52	52015	Eichmühle		S	1	2	2
52	52016	Eich		S	1	1	3
52	52017	Baltenswil		S	64	84	247
52	52399	Personen ohne Siedlungs-Nr. 		R	0	0	118
53	53001	Bülach (Stadt)	Quartiere	Q	1’756	5’682	13’172
53	53011	Hörnlihof		S	1	1	3
53	53012	Sonnenhof		S	1	1	2
53	53013	Heimgarten		S	12	15	69
53	53014	Rheinsberghof		S	2	2	2
53	53015	Station Glattfelden		S	3	2	3
53	53016	Herrenwis		S	2	6	12
53	53017	Wydhof		S	1	1	4
53	53018	Schlattihof		S	2	1	5
53	53019	Wolfächer		S	1	2	5
53	53020	Wagenbreche		S	1	3	10
53	53021	Hörainhof		S	1	1	4
53	53022	Läubberg		S	2	2	4
53	53023	Alpenhof		S	1	2	7
53	53024	Schützenmatt		S	2	4	7
53	53026	Wiesli		S	11	17	45
53	53028	Irchelstrasse		S	7	10	22
53	53029	Nussbaumen		S	21	28	75
53	53030	Dettenberg		S	2	3	7
53	53032	Franzrüti		S	2	1	6
53	53033	Tunnel		S	1	1	3
53	53034	Bäretsmoos		S	1	1	6
53	53035	Kreuz		S	1	2	4
53	53036	Rotzibuch		S	2	2	5
53	53037	Eschenmosen		S	28	37	100
53	53038	Klingenhof		S	2	2	6
53	53039	Binz		S	2	4	6
53	53041	Neu-Kirchhof		S	1	1	3
53	53044	Nebelwinkel-Erachfeld		S	3	14	40
53	53045	Engelwisstrasse		S	2	2	2
53	53046	Jfang		S	7	6	17
53	53047	Mettmenriet		S	4	18	49
53	53048	Schlaufenberg		S	15	13	47
53	53049	Hagenbuechen		S	1	2	6
53	53050	Hirslen		S	1	2	9
53	53399	Personen ohne Siedlungs-Nr. 		R	0	0	232
54	54001	Dietlikon (Dorf)	Quartiere	Q	913	2’715	6’149
54	54002	Grund		S	2	3	8
54	54003	Giblen		S	1	2	2
54	54004	Chriesbach		S	2	1	3
54	54005	Aegert		S	9	13	32
54	54399	Personen ohne Siedlungs-Nr. 		R	0	0	87
55	55001	Eglisau	Quartiere	Q	274	388	974
55	55005	Seglingen	Quartiere	Q	254	453	1’144
55	55009	Hardhof		S	1	2	4
55	55010	Vogelsang		S	1	2	7
55	55011	Steinerthof		S	1	1	2
55	55012	Forbo		S	1	1	7
55	55013	Stampfi		S	6	6	13
55	55014	Wiler		S	140	170	388
55	55015	Grafenholz		S	1	1	3
55	55017	Laubberg		S	1	1	2
55	55018	Dachsberg		S	1	1	5
55	55020	Steinboden		S	1	1	5
55	55021	Eichhof		S	1	1	2
55	55022	Im Stab		S	5	5	12
55	55023	Steinhag		S	1	3	10
55	55024	Hinter Stadtberg		S	2	2	4
55	55026	Tössriederen		S	62	88	205
55	55027	Lärchhof		S	1	1	3
55	55028	Birchstud		S	1	1	4
55	55029	Buechhof		S	2	2	9
55	55030	Laubi		S	4	3	9
55	55399	Personen ohne Siedlungs-Nr. 		R	0	0	81
56	56001	Embrach (Dorf)	Quartiere	Q	979	2’799	7’088
56	56007	Neumoos		S	1	1	2
56	56009	Ziegelhütte		S	3	4	10
56	56010	Hardhof		S	1	2	6
56	56011	Illingen		S	8	18	46
56	56012	Waldegg		S	1	2	8
56	56014	Obermühle		S	3	6	14
56	56015	Winkelwiesen		S	1	3	5
56	56016	Talegg		S	2	2	6
56	56017	Betzental		S	5	5	10
56	56018	Burghof		S	1	1	7
56	56019	Halde		S	1	1	2
56	56020	Freienhof		S	1	2	6
56	56021	Heidegghof		S	1	1	4
56	56022	Guldenberg		S	2	3	8
56	56023	Gstein		S	11	14	29
56	56024	Chimenhof		S	4	6	14
56	56025	Berghof		S	2	3	9
56	56027	Sunnenrain		S	1	3	8
56	56028	Schützenmaur		S	1	1	5
56	56029	Baltsberg		S	3	5	17
56	56030	Husacher		S	1	2	6
56	56039	Haller		S	78	80	222
56	56040	Chüng		S	31	33	104
56	56399	Personen ohne Siedlungs-Nr. 		R	0	0	108
57	57001	Freienstein (Dorf)		S	379	624	1’617
57	57002	Unter-Teufen		S	54	71	173
57	57003	Talhof		S	1	1	4
57	57004	Tössegg		S	1	1	4
57	57005	Stelzen		S	1	1	2
57	57006	Ober-Teufen		S	49	51	149
57	57008	Widen		S	1	1	5
57	57010	Feldhof		S	2	3	9
57	57011	Teufenbach		S	3	4	11
57	57012	Schloss Teufen		S	5	8	18
57	57013	Berg		S	1	3	6
57	57014	Geissstig		S	2	2	3
57	57015	Rüedi		S	4	7	35
57	57016	Wohnschule		S	4	2	38
57	57017	Eich		S	1	2	2
57	57019	Riberg		S	1	1	6
57	57020	Säget		S	1	1	3
57	57021	Unter-Grüt		S	1	1	6
57	57023	Sonnenberg		S	3	3	10
57	57399	Personen ohne Siedlungs-Nr. 		R	0	0	26
58	58001	Glattfelden (Dorf)		S	633	1’047	2’578
58	58002	Neuhus		S	1	1	6
58	58003	Rhihof		S	1	2	3
58	58004	Schlossacher		S	22	23	70
58	58005	Zweidlen-Station		S	54	91	257
58	58006	Rheinsfelden (Höfe)		S	8	10	26
58	58007	Letten		S	14	58	208
58	58009	Laubberg		S	4	3	7
58	58010	Zweidlen-Dorf		S	27	41	104
58	58014	Aarüti		S	15	21	59
58	58019	Berg		S	2	2	3
58	58020	Huser		S	1	1	1
58	58022	Wölflishalden		S	3	3	8
58	58023	Oberholz		S	1	2	3
58	58024	Rütifeld		S	1	1	2
58	58025	Lerchenhof		S	1	1	3
58	58026	Sunnenhof		S	1	1	3
58	58027	Hegsten		S	1	1	2
58	58028	Lindenhof		S	1	2	6
58	58029	Brunnehof		S	1	1	4
58	58030	Schachen		S	18	27	67
58	58031	Burenwisen		S	1	1	2
58	58032	Bildhof		S	1	1	1
58	58034	Kreuzstrasse		S	1	1	3
58	58399	Personen ohne Siedlungs-Nr. 		R	0	0	118
59	59001	Hochfelden (Dorf)		S	310	539	1’442
59	59002	Im Hasli		S	1	1	6
59	59003	Chalchofen		S	1	1	2
59	59005	Willenhof		S	12	14	39
59	59007	Im Jakobstal		S	5	18	29
59	59009	Im Schindlerbühl		S	4	5	10
59	59012	Bachtobel		S	1	1	3
59	59399	Personen ohne Siedlungs-Nr. 		R	0	0	48
60	60001	End-Höri		S	175	413	1’041
60	60002	Nieder-Höri		S	17	21	55
60	60003	Bückler-Dörnler		S	47	245	591
60	60004	Ober-Höri		S	148	186	523
60	60005	Höriberg		S	1	2	5
60	60006	Im Seeber		S	1	2	5
60	60007	Schoren		S	1	2	9
60	60399	Personen ohne Siedlungs-Nr. 		R	0	0	71
61	61001	Hüntwangen (Dorf)		S	231	291	705
61	61002	Mitzenwinkel		S	1	2	8
61	61003	Fuchshof		S	2	2	6
61	61004	Ergeten		S	1	6	14
61	61005	Bahnhof		S	2	2	6
61	61006	Längghof		S	1	2	6
61	61007	Raineten		S	2	1	1
61	61008	Linde		S	1	2	6
61	61009	Eichen		S	1	1	2
61	61010	Gentner		S	1	1	5
61	61399	Personen ohne Siedlungs-Nr. 		R	0	0	23
62	62001	Kloten (Stadt)	Quartiere	Q	1’794	7’868	16’289
62	62014	Römerhof-Homberg		S	1	1	6
62	62015	Egetswil		S	36	109	275
62	62016	Hinter Bänikon		S	1	1	2
62	62017	Vorder Bänikon		S	6	7	21
62	62018	Gerlisberg		S	23	41	120
62	62019	Rank		S	6	10	30
62	62020	Eigental		S	5	7	13
62	62021	Obholz		S	4	4	14
62	62022	Chloos		S	1	1	1
62	62023	Erli		S	1	1	1
62	62024	Werkhof		S	1	0	134
62	62399	Personen ohne Siedlungs-Nr. 		R	0	0	284
63	63001	Lufingen (Dorf)		S	69	192	446
63	63002	Felistetten		S	1	1	3
63	63003	Moosbrunnen		S	2	2	8
63	63004	Sandächer		S	2	2	10
63	63005	Ziegeleistrasse		S	5	19	47
63	63008	Müli		S	16	32	68
63	63009	Schärenwis		S	1	1	2
63	63010	Juch		S	1	1	2
63	63011	Hinter-Marchlen		S	3	4	12
63	63012	Gsteig		S	5	5	10
63	63013	Vorder-Marchlen		S	2	2	6
63	63014	Augwil		S	158	194	450
63	63015	Chloosstrasse		S	2	3	10
63	63016	Ober-Augwil		S	12	24	66
63	63399	Personen ohne Siedlungs-Nr. 		R	0	0	32
64	64001	Nürensdorf (Dorf)		S	372	964	2’310
64	64002	Tältschenmatt		S	1	1	2
64	64003	Breitenloo		S	8	8	20
64	64004	Kleinhaus		S	4	4	8
64	64005	Oberwil		S	112	168	403
64	64006	Lucketen		S	1	1	2
64	64007	Rütelen		S	1	2	4
64	64008	Breite		S	101	190	450
64	64009	Birchwil		S	374	429	1’066
64	64010	Erspel		S	1	2	5
64	64011	Usseramt		S	1	1	2
64	64013	Uttenbüel		S	1	1	5
64	64014	Sägete		S	1	2	6
64	64015	Hatzenbüel		S	1	1	4
64	64017	Hakab		S	13	23	46
64	64018	Buchwies		S	1	1	5
64	64019	Looren		S	1	2	4
64	64020	Fraubüechli		S	3	4	6
64	64022	Mittlerzelgli		S	1	1	6
64	64399	Personen ohne Siedlungs-Nr. 		R	0	0	121
65	65001	Oberembrach (Dorf)		S	178	288	694
65	65002	Rebhalde		S	1	2	4
65	65003	Trinenmoos		S	2	2	7
65	65004	Paradies		S	2	2	3
65	65005	Rotenfluh		S	6	10	26
65	65006	Unter-Mettmenstetten		S	2	2	5
65	65007	Althaus		S	1	2	6
65	65008	Ober-Mettmenstetten		S	4	4	12
65	65009	Ober-Wagenburg		S	7	13	34
65	65010	Stiegenhof		S	3	3	9
65	65011	Hellbrunn		S	1	1	3
65	65012	Weinberg		S	1	2	3
65	65013	Schmärbreiti		S	1	1	3
65	65014	Riethof		S	2	3	11
65	65016	Looren		S	1	1	2
65	65017	Sonnenberg		S	2	3	12
65	65018	Hausen		S	4	5	9
65	65019	Mühlberg		S	7	10	24
65	65020	Unter-Wagenburg		S	3	4	15
65	65021	Sonnenbühl		S	5	5	28
65	65022	Schauberg		S	1	2	5
65	65023	Madlikon		S	2	5	7
65	65024	Stürzikon		S	3	6	16
65	65025	Bühlhof		S	4	4	13
65	65026	Steinmüri		S	1	2	2
65	65027	Wildbach		S	1	2	2
65	65028	Hueb		S	1	2	6
65	65399	Personen ohne Siedlungs-Nr. 		R	0	0	29		
66	66001	Opfikon		S	159	572	1’277
66	66002	Glattbrugg	Quartiere	Q	653	3’864	7’647
66	66004	Grossacker/Opfikon		S	326	461	1’076
66	66005	Rietgrabenhang		S	55	309	761
66	66006	Au		S	12	236	426
66	66007	Oberhausen-Böschenwiesen		S	21	64	170
66	66008	Oberhauserriet		S	6	3	77
66	66009	Leutschenbach		S	2	2	5
66	66010	Talacker		S	6	7	18
66	66014	Hohenbühl/Bubenholz		S	7	44	66
66	66015	Brünnli/Hardacker		S	15	190	370
66	66399	Personen ohne Siedlungs-Nr. 		R	0	0	169
67	67001	Rafz (Dorf)		S	719	1’205	3’233
67	67002	Langenriet		S	2	2	5
67	67003	Waldegg		S	1	2	5
67	67004	Chalchofen		S	1	1	5
67	67005	Blättliacker		S	1	1	5
67	67006	Schlossbuck		S	1	1	5
67	67008	Waldhof		S	1	1	3
67	67009	Eichenrütenen		S	1	1	2
67	67011	Adenberg		S	1	1	4
67	67012	Sonnenberg		S	6	8	20
67	67015	Feldhof		S	2	3	8
67	67017	Forenhof		S	2	2	3
67	67018	Solgen		S	3	4	10
67	67019	Ulmenhof		S	1	2	4
67	67020	Zelglihof		S	1	1	2
67	67021	Schützenmatt		S	1	2	8
67	67024	Gentner		S	1	2	4
67	67025	Wiesenthal		S	1	1	1
67	67026	Birkenhof		S	1	3	8
67	67027	Sommerau		S	1	2	6
67	67028	Florhof		S	1	1	3
67	67029	Eichrüti		S	1	2	5
67	67030	Eichhof		S	1	1	2
67	67031	Rütihof		S	1	2	3
67	67399	Personen ohne Siedlungs-Nr. 		R	0	0	41
68	68001	Rorbas (Dorf)		S	426	742	1’797
68	68002	Ausserwiler		S	2	2	5
68	68003	Nauen		S	13	18	45
68	68004	Au		S	33	54	137
68	68005	Mühlehalde		S	1	2	3
68	68006	Studerwies		S	1	1	5
68	68007	Wagenbreche		S	2	3	8
68	68008	Federn		S	1	1	4
68	68009	Riet		S	19	63	149
68	68010	Bütberg		S	1	1	3
68	68011	Riedern		S	1	1	2
68	68012	Berghof		S	3	2	4
68	68399	Personen ohne Siedlungs-Nr. 		R	0	0	39
69	69001	Wallisellen (Dorf)	Quartiere	Q	1’846	5’322	11’705
69	69005	Herzogenmühle		S	6	7	34
69	69006	Neugut		S	7	8	27
69	69007	Schönenhof		S	7	10	41
69	69399	Personen ohne Siedlungs-Nr. 		R	0	0	132
70	70001	Wasterkingen (Dorf)		S	153	199	521
70	70003	Im Büelbrunnen 167		S	1	1	2
70	70004	Im Spitz 70		S	1	1	4
70	70005	Im Gwand 66		S	1	1	4
70	70006	In der Chürzi 179		S	1	2	8
70	70007	Zollhaus Wasterkingen		S	1	1	4
70	70008	Badener Landstrasse 101		S	1	1	4
70	70009	Heiziwies 110		S	1	1	6
70	70012	Zum Bergheim 67		S	1	1	2
70	70399	Personen ohne Siedlungs-Nr. 		R	0	0	5		
71	71001	Wil (Dorf)		S	222	304	785
71	71002	Buchenloo		S	15	19	46
71	71003	Berghof		S	1	1	5
71	71004	Wendelbuck		S	15	12	24
71	71005	Lirenhof		S	19	20	54
71	71006	Felsenegg		S	26	25	66
71	71007	Bürgelacker		S	53	53	164
71	71008	Hohenstich		S	1	1	2
71	71009	Rüti		S	2	3	10
71	71011	Hüslihof		S	10	16	54
71	71012	Feldhof		S	1	1	6
71	71013	Zollamt Wil-Grenze		S	1	2	2
71	71014	Haldenhof		S	1	1	4
71	71015	Grund		S	9	13	28
71	71016	Landbühl		S	4	5	18
71	71018	Rugg		S	1	1	2
71	71019	Bagöz		S	1	1	4
71	71020	Bahnwärterhaus Hard		S	1	1	1
71	71021	Frauenacker		S	1	0	1
71	71399	Personen ohne Siedlungs-Nr. 		R	0	0	41		
72	72001	Winkel (Dorf)		S	113	399	869
72	72002	Vorderer Rüebisberg		S	1	1	6
72	72003	Scheidweg		S	5	6	17
72	72004	Bitziberg		S	3	15	32
72	72005	Halden		S	21	23	61
72	72006	Bützen		S	25	25	69
72	72007	Geeren		S	32	34	97
72	72008	Bigisrüti		S	1	2	7
72	72009	Brütter		S	27	32	78
72	72010	Angelrain		S	46	50	139
72	72011	Berg		S	1	1	4
72	72012	Seeb		S	47	111	251
72	72013	Hofacher		S	21	23	64
72	72014	Lätten		S	43	48	136
72	72015	Seehalden		S	3	6	11
72	72016	Lochwis		S	24	31	71
72	72017	Grossacher		S	4	4	9
72	72018	Huser		S	2	2	6
72	72019	Niderrüti		S	23	82	179
72	72020	Büelhalden		S	12	15	29
72	72021	Loo		S	5	31	64
72	72022	Büelhof		S	7	17	42
72	72023	Pünten		S	5	7	17
72	72024	Büelreben		S	45	52	151
72	72025	Chlihölzli		S	21	85	166
72	72026	Maas		S	34	114	202
72	72027	Oberrüti		S	36	47	118
72	72028	Hagenbuechen		S	2	2	8
72	72029	Chirchbüel		S	33	60	132
72	72030	Hargarten		S	39	40	89
72	72032	Wilenhof		S	2	2	7
72	72034	Grosswis		S	21	21	68
72	72399	Personen ohne Siedlungs-Nr. 		R	0	0	118
81	81001	Alt-Bachs		S	67	98	261
81	81002	Neu-Bachs		S	35	45	141
81	81003	Tal		S	2	2	7
81	81004	Thalmühle		S	2	3	8
81	81005	Hueb		S	6	7	16
81	81006	Rüebisberg		S	5	5	15
81	81007	Brämhof		S	3	5	7
81	81008	Neumühle		S	1	1	4
81	81010	Rotzengrund		S	1	2	5
81	81011	Talwishof		S	1	2	8
81	81012	Zil		S	1	1	4
81	81013	Mulflen		S	6	8	21
81	81015	Stampfi		S	1	2	2
81	81019	Eichhof		S	1	1	6
81	81020	Wingert		S	1	3	9
81	81021	Weiherbach		S	2	5	9
81	81022	Hochrüti		S	2	2	5
81	81023	Tiergarten		S	1	3	11
81	81024	Hodleten		S	2	3	8
81	81025	Schlatt		S	2	1	2
81	81026	Wöllimoos		S	1	2	5
81	81027	Flüenen		S	1	1	3
81	81399	Personen ohne Siedlungs-Nr. 		R	0	0	20
82	82001	Boppelsen (Dorf)		S	288	359	893
82	82002	Lägern-Hochwacht		S	1	1	1
82	82003	Weid		S	2	3	10
82	82004	Bleiki		S	1	1	2
82	82005	Neuwies		S	22	31	76
82	82006	Rüti		S	3	3	4
82	82399	Personen ohne Siedlungs-Nr. 		R	0	0	32
83	83001	Buchs	Quartiere	Q	586	1’611	3’883
83	83007	Bruderhof		S	1	2	6
83	83008	Wolfacker		S	2	2	6
83	83009	In der Herzi		S	1	1	1
83	83010	Wanne		S	1	1	2
83	83011	Im Badweg		S	2	2	3
83	83012	Schinhut		S	1	4	8
83	83013	Hand		S	1	1	2
83	83014	Huebacher		S	4	4	4
83	83015	Im Petermoos		S	1	1	2
83	83016	Krähstel		S	15	16	38
83	83017	Drisgler		S	14	17	40
83	83018	Rietwiesen		S	1	2	5
83	83023	Im Riet		S	7	26	60
83	83024	Furthof		S	2	2	9
83	83025	Wiesenhof		S	3	1	5
83	83026	Hof		S	1	1	1
83	83027	Trübenbach		S	5	7	25
83	83029	Kriechenbaum		S	1	1	2
83	83399	Personen ohne Siedlungs-Nr. 		R	0	0	80		
84	84001	Dällikon	Quartiere	Q	448	1’322	3’049
84	84003	Brüederhof		S	2	2	5
84	84004	Erlenhof		S	1	1	2
84	84005	Weid		S	3	3	10
84	84006	Riet		S	10	11	21
84	84007	Hüttenwiesenstrasse		S	8	11	24
84	84009	Langwiesen		S	6	6	14
84	84011	Brunnenwiesen		S	1	1	2
84	84012	Feldhof		S	5	4	12
84	84015	Berghof		S	1	1	3
84	84016	Landhof		S	1	1	2
84	84017	Chrummwis / Längg		S	2	2	7
84	84399	Personen ohne Siedlungs-Nr. 		R	0	0	110
85	85001	Dänikon (Dorf)	Quartiere	Q	325	643	1’682
85	85006	Rotfluh		S	1	4	8
85	85007	Hofacker		S	1	2	4
85	85008	Altberg		S	1	1	2
85	85009	Geigelmoos		S	1	1	6
85	85010	Otelfinger-Str.		S	2	3	6
85	85011	Oberwiesenhof		S	1	2	4
85	85399	Personen ohne Siedlungs-Nr. 		R	0	0	37
86	86001	Dielsdorf (Dorf)		S	761	1’908	4’671
86	86004	Berghof		S	1	2	5
86	86005	Burghof		S	13	12	64
86	86006	Ditikerhof		S	4	5	13
86	86008	Rüti		S	1	1	2
86	86399	Personen ohne Siedlungs-Nr. 		R	0	0	127
87	87001	Hüttikon (Dorf)		S	158	185	480
87	87004	Hüttikerberg		S	4	5	14
87	87007	Wasenbühl		S	1	2	5
87	87399	Personen ohne Siedlungs-Nr. 		R	0	0	34
88	88001	Neerach (Dorf)		S	418	594	1’435
88	88002	Schlatt		S	1	1	5
88	88003	Strick		S	1	2	4
88	88004	Heitlig		S	1	2	5
88	88005	Im Lenz		S	1	1	5
88	88006	Im Juch		S	2	13	34
88	88007	Stadlersee		S	1	2	3
88	88008	Chernensee		S	1	1	4
88	88009	Mannacher		S	1	2	5
88	88010	Riedt		S	204	343	811
88	88011	Bramen		S	1	1	2
88	88012	Langgraben		S	3	4	14
88	88013	Neuwis		S	1	1	7
88	88014	Thalmann		S	1	1	4
88	88399	Personen ohne Siedlungs-Nr. 		R	0	0	28
89	89001	Niederglatt (Dorf)	Quartiere	Q	718	1’549	3’632
89	89009	Feldhof		S	3	3	10
89	89010	Auf dem Bühl		S	2	3	11
89	89012	Saali		S	1	1	2
89	89013	Kreuzäckern		S	1	2	6
89	89399	Personen ohne Siedlungs-Nr. 		R	0	0	76		
90	90001	Niederhasli	Quartiere	Q	801	2’087	5’310
90	90002	Oberhasli	Quartiere	Q	423	603	1’465
90	90003	Im Ried		S	1	2	5
90	90005	Hundsruggen / Dielsdorferstrasse		S	2	1	2
90	90010	Im Hecht		S	1	2	5
90	90011	Im Romis		S	3	3	9
90	90012	Im Feld		S	2	3	7
90	90014	Am See		S	2	2	8
90	90016	Kastelhof		S	10	15	37
90	90017	Mettmenhasli	Quartiere	Q	52	146	328
90	90021	Nassenwil	Quartiere	Q	77	85	227
90	90023	Loohof		S	1	1	4
90	90026	Rietrain		S	5	5	12
90	90027	Wehntalerstrasse		S	1	2	4
90	90028	Chutzenmoos		S	2	2	7
90	90029	Rütisberg		S	6	9	22
90	90032	Rütihof		S	3	3	5
90	90033	Weinbach		S	1	2	3
90	90034	Säget		S	2	2	7
90	90399	Personen ohne Siedlungs-Nr. 		R	0	0	122
91	91001	Niederweningen	Quartiere	Q	454	761	1’932
91	91003	Unterer Berghof		S	1	2	3
91	91006	Station		S	1	1	1
91	91010	Murzlen		S	1	1	1
91	91012	Surbwiesen		S	12	15	43
91	91013	Ob der Müli		S	6	4	12
91	91014	Märzenbrunnen		S	1	2	6
91	91015	Vorderegg		S	35	38	101
91	91016	Steighof		S	1	2	3
91	91018	Hintereichen		S	12	12	40
91	91022	Stumpen		S	1	1	7
91	91023	Surbengraben		S	1	1	6
91	91024	Birch		S	1	2	2
91	91025	Chüeboden		S	1	2	5
91	91026	Birchwald		S	1	2	3
91	91027	Riedenhof		S	1	2	6
91	91028	Widenhof		S	1	1	3
91	91029	Lindenhof		S	1	1	7
91	91030	Lütisgrund		S	1	2	4
91	91399	Personen ohne Siedlungs-Nr. 		R	0	0	35		
92	92001	Oberglatt (Dorf)	Quartiere	Q	590	1’593	3’564
92	92005	Schopetswil		S	2	2	3
92	92006	Forbuck		S	1	1	3
92	92007	Hell		S	3	2	4
92	92008	Hofstetten		S	123	469	1’115
92	92011	Grundbuck-Gässli		S	2	3	8
92	92012	Hasliberg		S	60	157	339
92	92013	Elektrohof		S	3	1	2
92	92399	Personen ohne Siedlungs-Nr. 		R	0	0	82		
93	93001	Oberweningen (Dorf)		S	206	377	919
93	93002	Kirchweg		S	34	37	109
93	93003	Tüfwis		S	51	51	162
93	93004	Wattenwilerhof		S	2	3	11
93	93005	Chalstorf		S	1	1	4
93	93006	Feusi		S	1	1	4
93	93007	Buck		S	3	4	15
93	93008	Grund		S	4	5	10
93	93009	Längelen		S	1	1	2
93	93010	Steinbrugg		S	1	1	7
93	93011	Erlenhof		S	1	2	6
93	93012	Weidhof		S	1	1	8
93	93013	Breitenhof		S	1	1	3
93	93014	Schniderhus		S	1	1	2
93	93399	Personen ohne Siedlungs-Nr. 		R	0	0	28
94	94001	Otelfingen (Dorf)	Quartiere	Q	409	719	1’808
94	94399	Personen ohne Siedlungs-Nr. 		R	0	0	44
95	95001	Regensberg (Städtchen)		S	68	156	346
95	95002	Staldern / Pünt		S	7	9	25
95	95004	Höfli / Halde		S	4	5	12
95	95006	Loohof		S	1	3	18
95	95008	Hirsmühle		S	10	27	61
95	95009	Mötsche		S	1	2	6
95	95010	Erlenhof		S	1	2	7
95	95399	Personen ohne Siedlungs-Nr. 		R	0	0	12
96	96001	Regensdorf (Dorf)	Quartiere	Q	812	3’326	7’531
96	96003	Schwenkelberg		S	1	1	3
96	96004	Rächenbühl		S	13	14	35
96	96005	Strassächer		S	1	3	5
96	96006	Sonnhalde		S	87	796	1’984
96	96007	Rebrain		S	64	141	342
96	96008	Im Lätten		S	21	21	63
96	96009	Lleitstrasse		S	28	29	75
96	96010	Laubisser		S	223	227	617
96	96012	Sandrain		S	10	10	26
96	96013	Oberdorf (Watt)		S	15	34	72
96	96014	Spannrain		S	60	49	174
96	96015	Riedthof		S	3	5	9
96	96016	Adlikon		S	96	412	970
96	96017	Adliker-Büel		S	1	1	2
96	96018	Pächterriet		S	52	84	234
96	96019	Trockenloo		S	48	125	289
96	96021	Wiesacher Ort		S	15	83	143
96	96023	Weingarten		S	1	2	4
96	96024	Im Seeholz		S	1	3	6
96	96025	Geeren		S	1	1	3
96	96028	am Katzensee		S	4	7	19
96	96031	Altburg		S	18	39	82
96	96032	Folenmoos		S	3	4	13
96	96033	Lättenhau		S	1	1	2
96	96034	Bühl (Watt)		S	1	1	6
96	96035	Bühl (Regensdorf)		S	1	1	1
96	96036	Lochäcker		S	3	3	9
96	96037	Geissberg		S	2	2	5
96	96038	Eichelackerstrasse		S	14	15	50
96	96039	Bachtobelstrasse		S	54	56	195
96	96040	Murgler		S	1	1	8
96	96041	Lindenhof.		S	1	2	7
96	96047	Unterdorf		S	34	168	343
96	96048	Usserdorf		S	35	115	270
96	96049	Sand		S	90	387	879
96	96050	Ehrenhau		S	10	10	23
96	96051	Wisacher Weid		S	13	105	229
96	96399	Personen ohne Siedlungs-Nr. 		R	0	0	370
97	97001	Rümlang (Dorf)	Quartiere	Q	783	2’362	5’144
97	97005	Schärenwiesen		S	1	1	1
97	97007	Looren		S	1	1	6
97	97009	Böhli		S	1	1	3
97	97010	Industrie Riedmatt		S	1	1	1
97	97011	Haselbach		S	1	1	3
97	97012	Frohbühl		S	2	2	5
97	97013	Mülirain		S	2	3	6
97	97014	Stockbrunnen		S	1	2	3
97	97015	Heuel		S	3	2	12
