#Word Types: 58536;;
#Word Tokens: 2513412;;
#Search Hits: 0;;
328;989;grüningen
329;988;armen
330;983;febr
331;974;gsein
332;969;maii
333;969;sch
334;960;gehabt
335;954;bei
336;951;sonderlich
337;945;gethan
338;942;dise
339;936;disem
340;917;darzu
341;915;dito
342;912;beiden
343;912;fehler
344;912;seig
345;909;dises
346;908;buß
347;905;möchte
348;900;besitzen
349;897;geleidet
350;896;bub
351;888;barbara
352;876;genant
353;876;martii
354;869;nie
355;867;ehegricht
356;866;können
357;861;jungen
358;858;eben
359;858;st
360;857;ha
361;855;jan
362;852;dahin
363;851;mandat
364;847;bf
365;847;transkript
366;846;ehe
367;846;johannes
368;846;kam
369;843;gewesen
370;837;anerbotten
371;831;befohlen
372;824;gsagt
373;821;jörg
374;819;willen
375;818;were
376;813;darumb
377;810;gewisen
378;810;jageli
379;807;ii
380;805;frey
381;804;sonst
382;804;weder
383;803;jac
384;797;eister
385;795;gestelt
386;792;ehgaumer
387;792;v
388;789;keine
389;789;sollind
390;783;deßwegen
391;783;verena
392;783;verklagt
393;783;z
394;782;schwöster
395;780;deren
396;780;hiemit
397;776;heinr
398;774;müßen
399;774;stillstands
400;768;dißer
401;767;kinderen
402;765;schulmeister
403;765;unser
404;762;fraw
405;762;tags
406;753;zinstag
407;752;zusammen
408;750;hannß
409;744;gemeind
410;743;morgen
411;741;geschlagen
412;741;jeder
413;738;actum
414;738;waren
415;738;warend
416;738;wirth
417;734;augusti
418;732;jogli
419;731;aller
420;728;eh
421;722;frauwen
422;722;sagte
423;722;stuhl
424;719;angebracht
425;716;mein
426;714;befunden
427;714;selbigen
428;714;welcher
429;711;darüber
430;711;murer
431;709;jahren
432;705;lassen
433;702;wil
434;698;schul
435;693;leben
436;693;pfahrer
437;690;oberkeit
438;690;predigen
439;690;præsentibus
440;690;selbige
441;687;angezeigt
442;684;schloß
443;681;groß
444;681;hin
445;680;samt
446;678;daselbst
447;674;grad
448;674;p
449;673;bz
450;673;gn
451;671;wurden
452;669;wäber
453;666;gemacht
454;666;hette
455;666;pfarrhaus
456;666;wägen
457;663;darvon
458;663;ihnne
459;663;obervogt
460;663;sehr
461;663;wenig
462;660;zusprechen
463;659;eins
464;659;geschworen
465;657;erst
466;654;rudli
467;651;c
468;651;sey
469;650;erwehlt
470;648;nemmen
471;647;stul
472;647;uns
473;645;ehrsammen
474;645;marx
475;642;kinderlehr
476;635;ja
477;635;januarii
478;634;ers
479;633;bim
480;627;hatte
481;626;pfarrhauß
482;625;n
483;624;fürgstelt
484;624;nachts
485;624;weib
486;624;übergeben
487;622;ersten
488;622;gehen
489;621;etwan
490;620;wir
491;618;gnad
492;618;gnaden
493;618;meinung
494;611;schuldig
495;609;ordnung
496;606;beschehen
497;603;disen
498;603;hinder
499;603;währender
500;602;esch
501;597;frauen
502;597;gantz
503;595;rudolff
504;590;jahrs
505;590;werdind
506;588;angezeiget
507;588;elteren
508;588;walder
509;585;besserung
510;585;hochzeit
511;585;personen
512;584;gredt
513;582;pfarr
514;581;thurn
515;580;zinstags
516;579;obervögten
517;573;alte
518;573;anders
519;571;sagt
520;570;dergleichen
521;570;drüber
522;568;ns
523;567;bald
524;565;gemachet
525;564;gschworen
526;564;halber
527;564;jenner
528;561;kübler
529;561;verhalten
530;558;leiden
531;556;ogt
532;555;recht
533;555;sagen
534;552;gab
535;552;gschlagen
536;552;huber
537;552;weliches
538;552;wirt
539;551;do
540;550;seind
541;549;befelch
542;549;darby
543;547;birmenstorff
544;546;citiert
545;546;egli
546;546;empfangen
547;546;kirchenpfleger
548;545;gottes
549;543;möge
550;543;wer
551;542;erste
552;541;tagen
553;540;fiel
554;538;richter
555;537;jung
556;537;ledig
557;537;monats
558;536;te
559;534;junge
560;534;schwiger
561;534;seyn
562;534;volk
563;528;statthalter
564;528;zugsprochen
565;525;eodem
566;525;gleich
567;524;o
568;524;spöri
569;523;is
570;523;wochen
571;522;überlaßen
572;521;verbleiben
573;519;hinweg
574;519;kyburg
575;517;meister
576;516;stillst
577;513;allem
578;513;beysein
579;513;land
580;513;selbiges
581;510;aug
582;510;gebe
583;509;nebet
584;507;mögen
585;507;müße
586;504;bringen
587;504;großen
588;501;meitli
589;500;vermahnet
590;498;annus
591;498;weiters
592;495;anno
593;495;erschinen
594;495;wëgen
595;492;abermahlen
596;492;knecht
597;492;nachdem
598;492;persohnen
599;492;widerum
600;491;wüßen
601;489;magd
602;488;beth
603;486;erschinnen
604;483;fürgehalten
605;483;solche
606;482;stuben
607;481;str
608;480;erben
609;479;gantzen
610;479;voll
611;478;dienst
612;477;amen
613;476;leüth
614;476;wüße
615;474;wolff
616;474;wuchen
617;470;per
618;469;sitzen
619;468;goßau
620;468;hingegen
621;467;orden
622;466;keller
623;465;anhalten
624;465;zunfftmeister
625;464;ansprach
626;462;darinn
627;462;hornung
628;462;seigind
