Eigennamen	Siedlungnummer	Ortsname normalisiert	Kategorie
Bachenbüli	51001	Bachenbülach	placeName
Bachs	81001	Bachs	placeName
Bachtällen	52006	Bachtelen	placeName
Bachtellen	52006	Bachtelen	placeName
Bachthällen	52006	Bachtelen	placeName
Baden	4021	Baden	placeName
Bahrenberg	112071	Barenberg	placeName
Balchenst[al]	173021	Balchenstal	placeName
Balchenstal	173021	Balchenstal	placeName
Balm	117074	Balm	placeName
Baltischwyl	*	Baltenswil	placeName
Barenberg	112071	Barenberg	placeName
Bäretschw[yl]	111001	Bäretswil	placeName
Bäretschwl	111001	Bäretswil	placeName
Baretschwyl	111001	Bäretswil	placeName
Bäretschwyl	111001	Bäretswil	placeName
Basel	2701	Basel	placeName
Basendingen	4536	Basadingen	placeName
Baserstorf	52001	Bassersdorf	placeName
Baßerstorf	52001	Bassersdorf	placeName
Basserstorff	52001	Bassersdorf	placeName
Bauma	171001	Bauma	placeName
Baumen		Bauma	placeName
Bechelr[üti]	116003	Bächelsrüti	placeName
Bechelrüti	116003	Bächelsrüti	placeName
Bechelsrüten	116003	Bächelsrüti	placeName
Bechelsrüthi	116003	Bächelsrüti	placeName
Bechelsrüti	116003	Bächelsrüti	placeName
Bechelsrütren	116003	Bächelsrüti	placeName
Bechelsrütti	116003	Bächelsrüti	placeName
Benckhen		Benken	placeName
Bendl[ickon]	135014	Bendlikon	placeName
Bendlicken	135014	Bendlikon	placeName
Bendlickon	135014	Bendlikon	placeName
Bendliken	135014	Bendlikon	placeName
Bened[ict]		Bendlikon	placeName
Bënnken	22001	Benken	placeName
Berentsch[wil]	111001	Bäretswil	placeName
Berentschwil	111001	Bäretswil	placeName
Berentswilano	111001	Bäretswil	placeName
Beretsch[wil]	111001	Bäretswil	placeName
Beretschwil	111001	Bäretswil	placeName
Beretschwyl	111001	Bäretswil	placeName
Bëretschwyl	111001	Bäretswil	placeName
Berg	115001	Berg	placeName
Berliken	112074	Berlikon	placeName
Berlikon	112074	Berlikon	placeName
Berotschweil		Bäretswil	placeName
Bertschicken	115010	Bertschikon	placeName
Bertschikon	115010	Bertschikon	placeName
Betschwyl	*	Bettswil	placeName
Bietenholtz		Bietenholz	placeName
Bietenholtzen		Bietenholz	placeName
Bietenholz		Bietenholz	placeName
Billicken		Billikon	placeName
Bintzicken	116002	Binzikon	placeName
Bintzickon	116002	Binzikon	placeName
Bintziken	116002	Binzikon	placeName
Bintzikon	116002	Binzikon	placeName
Binz[ikon]	116002	Binzikon	placeName
Binzicken	116002	Binzikon	placeName
Binzicker		Binzikon	placeName
Binzickon	116002	Binzikon	placeName
Binzik[on]	116002	Binzikon	placeName
Binziken	116002	Binzikon	placeName
Binzikon	116002	Binzikon	placeName
Binzikonæ	116002	Binzikon	placeName
Birmannstorf	242001	Birmensdorf	placeName
Birmenst[orf]	242001	Birmensdorf	placeName
Birmenstorf	242001	Birmensdorf	placeName
Birmenstorff	242001	Birmensdorf	placeName
Birmenstorffs	242001	Birmensdorf	placeName
Bischoffzell	4471	Bischofszell	placeName
Bisicken	174016	Bisikon	placeName
Bleike	13020	Bleike	placeName
Bonnstädten	3001	Bonstetten	placeName
Bonnstädter		Bonstetten	placeName
Bonnstätten	3001	Bonstetten	placeName
Bonnstetten	3001	Bonstetten	placeName
Bonst[etten]	3001	Bonstetten	placeName
Bonstädten	3001	Bonstetten	placeName
