Bähren		
Bahrenberg	112071	
Bährin		
Balberi		
Balbero		
Balbers		
Balchen[stan]	173021	
Balchenst[al]	173021	
Balchenstain	173021	
Balchenstal	173021	
Balchenstan	173021	
Balchenstaner	173021	
Balchenstein	173021	
Balderen		
Bali		
Balm	117074	
Balmas		
Balmischen		
Baltenschwyler		
Balth[assar]		
Balth[aßer]		
Balth[aßers]		
Balthasar		
Balthassar		
Balthasser		
Balthaßar		
Balthaßen		
Balthaßer		
Balthaßers		
Balthi		
Balti		
Baltis		
Baltischwyl	*	
Baltiß		
Baltus		
Baltys		
Bannwart		
Bannwarten		
Bäntz		
Bäntzen		
Banwart		
Banwarten		
Banwartin		
Bänzen		
Baptist		
Bär		
Bar[egger]		
Barb[ar]a		
Barb[ara]		
Barb[el]		
Barba		
Barbali		
Barbar		
Barbar[a]		
Barbara		
Barbarlein		
Barbarli		
Barbarlis		
Barbel		
Barbeli		
Barbell		
Barbera		
Barbi		
Barblen		
Baregger		
Bareggers		
Bären		
Barenberg	112071	
Bärenbubli		
Bärenwirt		
Bärenwirth		
Bärenwirths		
Bareters		
Barether		
Bäretschw[yl]	111001	
Bäretschwl	111001	
Baretschwyl	111001	
Bäretschwyl	111001	
Bärin		
Bärlocher		
Barreger		
Barth		
Barthle		
Barthli		
Bartholomei		
Bartli		
Bartli]		
Bartlis		
Barttli		
Baschi		
Baschion		
Baschis		
Baschiß		
Bäschleri		
Baschli		
Baschlin		
Baschlis		
Basel	2701	
Basendingen	4536	
Baserstorf	52001	
Basilius		
Basler		
Bäsler		
Baßerstorf	52001	
Basserstorff	52001	
Bat		
Batellen		
Baten		
Bath		
Bathe		
Bathli		
Batludis		
Bättelgsind		
Bätteljägi		
Bättelordnung		
Bätttag		
Bauart		
Bauermannin		
Bauert		
Baüger		
Bauheri		
Bauherin		
Bauma	171001	
Bauman		
Baümänli		
Baumann		
Baumannin		
Baumanns		
Baumans		
Baumberger		
Bäumelein		
Baümeli		
Bäümeli		
Baümelins		
Baumen		
Baumgartner		
Baur		
Bauren		
Bauren-Boden		
Bauwert		
Bauwstetter		
Bawerin		
Beat-Ludis		
Beath		
Bebelitzin		
Bebi		
Bëbi		
Bebie		
Bebieen		
Bebilitz		
Bebin		
Bebinen		
Bebischen		
Bech	1322	Bäch SZ
Bechel	*	
Bechelr[üti]	116003	
Bechelrüti	116003	
Bechels	116003	
Bëchels	116003	
Bechelsrüten	116003	
Bechelsrüthi	116003	
Bechelsrüti	116003	
Bechelsrütren	116003	
Bechelsrütti	116003	
Bechtold		
Bechtolden		
Bechtoldin		
Bechtolds		
Beckenhanßen		
Beckhen		
Beedes		
Beeidigung		
Befalch		
Begab		
Begreiffende		
Behüet		
Beigel		
Beisitzer		
Bekënte		
Beketrägere		
Beketrägeri		
Beketrägerin		
Beklis		
Beld		
